暗杠	an gang
西三局	xi san ju
西四局	xi si ju
喜相逢	xi xiang feng
西一局	xi yi ju
下家	xia jia
闲家	xian jia
现物	xian wu
向听	xiang ting
湘西麻将	xiang xi ma jiang
襄阳麻将	xiang yang ma jiang
小车轮	xiao che lun
小和	xiao he
小明杠	xiao ming gang
小三元	xiao san yuan
小四风会	xiao si feng hui
小四喜	xiao si xi
小四喜和	xiao si xi hu
小相公	xiao xiang gong
小于五	xiao yu wu
斜坡	xie po
星不靠	xing bu kao
形式听牌	xing shi ting pai
形听	xing ting
序数牌	xu shu pai
悬赏牌	xuan shang pai
燕返	yan fan
眼镜	yan jing
幺鸡	yao ji
幺九刻	yao jiu ke
幺九牌	yao jiu pai
叶子格戏起源说	ye zi ge xi qi yuan shuo
一百点棒	yi bai dian bang
一般高	yi ban gao
一杯口	yi bei kou
一本场	yi ben chang
一饼	yi bing
一饼摸月	yi bing mo yue
宜昌麻将	yi chang ma jiang
一点红	yi dian hong
一对	yi dui
一番	yi fan
役满	yi man
役牌	yi pai
一炮多响	yi pao duo xiang
一炮两响	yi pao liang xiang
一炮三向	yi pao san xiang
一炮三响	yi pao san xiang
一炮双响	yi pao shuang xiang
一气通贯	yi qi tong guan
一气通贯全带幺九	yi qi tong guan quan dai yao jiu
一千点棒	yi qian dian bang
一圈	yi quan
一色三步高	yi se san bu gao
一色三节高	yi se san jie gao
一色三顺	yi se san shun
一色三同顺	yi se san tong shun
一色双龙会	yi se shuang long hui
一色四步高	yi se si bu gao
一色四节高	yi se si jie gao
一色四顺	yi se si shun
一色四同顺	yi se si tong shun
一索	yi suo
一条	yi tiao
一条龙	yi tiao long
一听一和	yi ting yi hu
一筒	yi tong
一筒摸月	yi tong mo yue
一万	yi wan
一万点棒	yi wan dian bang
役种	yi zhong
云南麻将	yun nan ma jiang
诈和	zha hu
振听	zhen ting
郑和下西洋起源说	zheng he xia xi yang qi yuan shuo
直击	zhi ji
智取生辰纲	zhi qu sheng chen gang
中发白	zhong fa bai
中张牌	zhong zhang pai
抓牌	zhua pai
庄风牌	zhuang feng pai
庄家	zhuang jia
桌子	zhuo zi
自风	zi feng
自风牌	zi feng pai
子家	zi jia
自摸	zi mo
自摸符	zi mo fu
自摸和	zi mo hu
自摸胡	zi mo hu
自摸清一色	zi mo qing yi se
字牌	zi pai
字一色	zi yi se
组合龙	zu he long
做相公	zuo xiang gong
坐庄	zuo zhuang
