阿鼻坠空	a bi zhui kong
今昔焉在	jin xi yan zai
尽下一步干戈	jin xia yi bu gan ge
金仙大罗掌	jin xian da luo zhang
尽写牢骚万古愁	jin xie lao sao wan gu chou
烬言诚	jin yan cheng
锦烟霞	jin yan xia
进一步	jin yi bu
静处留烛观其谬	jing chu liu zhu guan qi miu
睛儿	jing er
鲸翻云覆	jing fan yun fu
靖海军	jing hai jun
静海葬活龙	jing hai zang huo long
静净醇纯	jing jing chun chun
镜里罪容化成无	jing li zui rong hua cheng wu
靖灵君	jing ling jun
竞魔跨限	jing mo kua xian
竞日孤鸣	jing ri gu ming
静室紫草没麟骨	jing shi zi cao mei lin gu
竞天罚	jing tian fa
京王	jing wang
净心亭	jing xin ting
静心眼	jing xin yan
竞曰风云山河	jing yue feng yun shan he
晶珠凉	jing zhu liang
静紫麟	jing zi lin
九重天欲坠	jiu chong tian yu zhui
九锋三变	jiu feng san bian
九减四等于六	jiu jian si deng yu liu
究竟人心分雪炭	jiu jing ren xin fen xue tan
九九归一剑	jiu jiu gui yi jian
九炼烽火	jiu lian feng huo
九龙变	jiu long bian
九龙天书	jiu long tian shu
九龙争珠	jiu long zheng zhu
纠伦	jiu lun
酒泉寺	jiu quan si
就是我的快乐	jiu shi wo de kuai le
九算	jiu suan
九天剑殊	jiu tian jian shu
九天列宿黯淡	jiu tian lie su an dan
九天银丝线	jiu tian yin si xian
九锡冠节	jiu xi guan jie
九霄魔动坠红尘	jiu xiao mo dong zhui hong chen
九幽黄泉九幽深	jiu you huang quan jiu you shen
旧游南梦景如梭	jiu you nan meng jing ru suo
九幽子	jiu you zi
久住青山无白眼	jiu zhu qing shan wu bai yan
举步烟硝	ju bu yan xiao
琚昌主人	ju chang zhu ren
琚琤山	ju cheng shan
巨门拓阴山	ju men tuo yin shan
举世板荡	ju shi ban dang
聚忠仁之精神	ju zhong ren zhi jing shen
钜子	ju zi
狷螭狂	juan chi kuang
倦红尘	juan hong chen
卷黄沙	juan huang sha
绢写黑诗无限恨	juan xie hei shi wu xian hen
卷云掩日	juan yun yan ri
绝命司	jue ming si
绝命阎罗执天刑	jue ming yan luo zhi tian xing
绝仙涛	jue xian tao
决战时刻	jue zhan shi ke
军师	jun shi
军狮	jun shi
君扬怒眉杀天下	jun yang nu mei sha tian xia
君有才能纵捭阖	jun you cai neng zong bai he
军长	jun zhang
君子宿	jun zi su
君子仪	jun zi yi
卡密他	ka mi ta
凯风弼羽	kai feng bi yu
楷模全赋	kai mo quan fu
开天沌始辟元神	kai tian dun shi pi yuan shen
开天破日	kai tian po ri
开阳神功	kai yang shen gong
开阳天辅日焉同	kai yang tian fu ri yan tong
开阳武曲	kai yang wu qu
看到鬼	kan dao gui
可比仙女越瑶池	ke bi xian nv yue yao chi
克己节欲报国责	ke ji jie yu bao guo ze
恪命司	ke ming si
可笑龙渊浊世开	ke xiao long yuan zhuo shi kai
客舟飘摇披霞裳	ke zhou piao yao pi xia shang
空腹对愁眠	kong fu dui chou mian
孔如井	kong ru jing
空色无欲	kong se wu yu
恐遇魏征鹞鹰毙	kong yu wei zheng yao ying bi
空之军势	kong zhi jun shi
口唱乾坤道非真	kou chang qian kun dao fei zhen
寇香引	kou xiang yin
苦海女神龙	ku hai nv shen long
哭诉三世冤	ku su san shi yuan
枯髓咒怨	ku sui zhou yuan
夸丢贵	kua diu gui
狂涛风险掀波澜	kuang tao feng xian xian bo lan
喟叹长生不如	kui tan chang sheng bu ru
